target,relation,relation_score,magnitude,entities_all,metrics_all,summary
지수,up,0.9992771744728088,4,; 日; 다카이치 사나에,지수,재정지출 확대를 공언한 다카이치 사나에 자민당 총재가 이달 중순 총리직에 오를 것이 확실시되면서 경기 부양에 대한 기대감이 커지며 닛케이지수는 오전 상승세로 출발해 한때 4만8527을 기록하며 장중 역대 최고치를 경신했다.
주가,up,0.9992510676383972,67%,서울경제; B전자; 맥쿼,주가,"서울경제B전자의 주가가 연초 이후 70% 가까이 급등하면서 ‘10만 전자’에 대한 기대감이 고개를 들고 있는 가운데, 맥쿼리는 삼성전자를 메모리 호황 사이클의 최대 수혜주로 지목하며 목표주가를 기존 대비 26% 상향한 12만 원으로 제시했다."
지수,up,0.9991362690925598,9,미국,지수; 금,"코스피가지수가 3500선을 돌파하며 사상 최고치를 경신한 가운데 국내 증시는 미국 기준금리 인하 사이클과 관련한 불확실성, 미국 연방 정부 셧다운 등 불확실한 환경 속에서 연휴 이후 증시 흐름에 대한 낙관론과 경계론이 뒤섞이고 있다."
한,up,0.9951157569885254,4,한; ·; 미,,"증권업계 따르면 10월에 이어 10월에도 한국과 미국 증시가 나란히 사상 최고치를 경신하면서 고점 논란도 커지고 있는 가운데, 증권가에선 계절적 패턴을 근거로 올해 4분기에도 강세장이 이어질 가능성에 무게를 두고 있다."
영업이익,up,0.9983648657798767,5.75%,삼성전자,영업이익,"지난 2일 증권사가 최근 3개월 내 제시한 삼성전자의 연결 기준 3분기 영업이익 컨센서스(시장 평균 전망치)는 9조7113억원으로 집계되었으며 이는 전년 동기 대비 5.75% 증가한 수준이며, 한 달 전 전망치인 8조7945억원 대비 9168억원 늘어난 규모이다."
지수,up,0.9969121217727661,53.76%,대신증권,지수; 수익률,올해 코스피에 연동하는 상장지수펀드(ETF)에 투자했다면 올해 코스피에 연동하는 상장지수펀드(ETF)에 투자했다면 정기예금의 33배가 넘는 수익률을 거뒀을 것이라는 분석이 제시7일 대신증권에 따르면 올해 들어 지난 1일까지 주요 재테크수단 중 1일까지 주요 재테크수단 중 1위인 코덱스(KODEX)200이 나오고 코덱스(KODEX)200은 지난 1월 2일 3만1천305원에서 4만8천135원으로 53.76% 증가하면서 코덱스200 수익률도 함께 급증한 것이다. 같은 기간 코스피 상승률은 44.06% 증가하였다.
금,neutral,0.018157584592700005,89%,한국은행,금,"19일 한국은행에 따르면 지난달 말 화폐발행잔액은 전월 대비 6조 4463억 원 증가한 199조 5982억 원으로, 이 중 5만원권은 금액 기준 89%, 장수 기준 49%를 차지했다."
금,neutral,0.511375904083252,5.75%,삼성전자,금; 영업이익,"삼성전자는 ' 장 중 '9만 전자'를 탈환하면서 투자자 시선은 추석 연휴 직후인 오는 14일 3분기 잠정 실적을 발표할 것이라며, 증권사가 최근 3개월 내 제시한 삼성전자의 연결 기준 3분기 영업이익 컨센서스(시장 평균 전망치)는 9조7천113억원으로 전년전년 동기 대비 5.75% 증가한 금액에 비해 5.75% 증가한 금액으로 한 달 전 전망치인 8조7천945억원 대비 9천168억원 늘어난 규모장기 호황(장기 호황) 기대감에 실적도 개선될 것이라는 기대감이 커진 영향이라며 삼성전자가 최근 장 중 '9만 전자'를 탈환하면서 투자자 시선은 추석 연휴 이후 발표될 실적에 쏠리고 있다.삼성전자는 추석 연휴 직후인 오는 14일 3분기 잠정 실적을 발표할 것이라며, 삼성전자는 추석 연휴 직후인 오는 14일 3분기 잠정 실적을 발표할 것이라고 한다."
수익률,up,0.9764482378959656,1,중국,수익률,올해 4~5월 집중적으로 상장된 휴머노이드 ETF 중 중국 기업에 투자하는 상품이 압도적인 수익률을 보인것은 중국 휴머노이드 ETF였다.
가격,up,0.999336302280426,1,뉴스1; 로이터통신,가격; 금,뉴스1과 로이터통신 등에 따르면 오전 2시8분 금 현물 가격이 온스당 3929.91달러를 기록하여 사상 처음으로 온스당 3929.91달러를 기록했다.
